Link,DR,Type,Stauts,date,提交人,Proof,Follow up,,,,,,,,,,,,,,
https://soalternative.com/,5,免费,已提交,,@刘跃琪,,,,,,,,,,,,,,,,
https://www.toolhunter.ai/,6,免费,待提交,,,,,,,,,,,,,,,,,,
https://tinyhunt.dev/projects/submit,20,免费,待提交,,,,暂无free slot,,,,,,,,,,,,,,
https://peerlist.io/user/projects/add-project,75,免费,已发布,,,https://peerlist.io/randomai/project/autocoder,可以让大家都注册一下账号，准备launch,,,,,,,,,,,,,,
https://mossai.org/submit,74,置换,待提交,,,,网站bug了,,,,,,,,,,,,,,
https://www.futuretools.io/submit-a-tool,69,免费,已提交,,,,,,,,,,,,,,,,,,
https://www.insidr.ai/submit-tools/,48,免费,已提交,,,,收到一个付费套餐推广就没有然后了,,,,,,,,,,,,,,
https://www.toolify.ai/,73,免费,已发布,,,https://www.toolify.ai/tool/autocoder-cc,可以让大家都注册一下，写点评论,,,,,,,,,,,,,,
https://openhunts.com/,50,免费,已发布,,,https://openhunts.com/projects/autocoder-cc,可以让大家都注册一下，写点评论,,,,,,,,,,,,,,
https://devhub.best/,30,免费,待提交,,,,无free slot,,,,,,,,,,,,,,
https://www.topaitools4u.site/,,免费,已发布,,,,,,,,,,,,,,,,,,
https://shipstry.com/,20,免费,已提交,,,,,,,,,,,,,,,,,,
https://findly.tools/,77,置换,待提交,,,,,,,,,,,,,,,,,,
https://newtool.site/,57,置换,待提交,,,,,,,,,,,,,,,,,,
https://aitools.inc/,70,免费,已提交,,,,,,,,,,,,,,,,,,
https://www.launchingnext.com/,51,免费,已提交,,,没有提交成功的页面，只能等邮件,,,,,,,,,,,,,,,
https://10015.io/,53,免费,已提交,,,,,,,,,,,,,,,,,,
https://foundr.ai,40,免费,待提交,,,,,,,,,,,,,,,,,,
https://www.saashub.com/categories,77,免费,待提交,,,,,,,,,,,,,,,,,,
https://aihuntlist.com/,59,免费,待提交,,,,,,,,,,,,,,,,,,
https://firsto.co/,57,免费,待提交,,,,,,,,,,,,,,,,,,
https://agentwise.org/,34,免费,待提交,,,,,,,,,,,,,,,,,,
https://www.bizz-directory.com/,30,置换,待提交,,,,,,,,,,,,,,,,,,
https://www.azure-directory.com/,33,置换,待提交,,,,,,,,,,,,,,,,,,
https://whattheai.tech/,34,免费,已提交,,,,,,,,,,,,,,,,,,
https://freeappsai.com/add/standard/,"4,2",免费,已提交,,,,,,,,,,,,,,,,,,
https://www.listedai.co/,"3,7",免费,已提交,,,,,,,,,,,,,,,,,,
https://every-ai.com/,"3,7",免费,已提交,,,,,,,,,,,,,,,,,,
https://docs.google.com/forms/d/e/1FAIpQLSfWRgf6b8sNZnZj-0Je60H-5J5pHmYkM8uDgiFQi5Wfuzx7Xg/viewform?vc=0&c=0&w=1,96,免费,已提交,,,,,,,,,,,,,,,,,,
https://forms.gle/Ze6pdWzmweCfKWnLA,95,免费,已提交,,,,,,,,,,,,,,,,,,
https://aitools.neilpatel.com/,91,免费,待提交,,,无提交成功页面,,,,,,,,,,,,,,,
https://aiinfinity-meetpatel.notion.site/AI-Infinity-AI-Tools-Directory-0da673c487124ea2b6f8ebe59b75a231,91,免费,已提交,,,,,,,,,,,,,,,,,,
https://www.business2community.com/;,89,,,,,,,,,,,,,,,,,,,,
https://tally.so/r/mYaR6N,88,免费,已提交,,,,,,,,,,,,,,,,,,
https://financesonline.com/,87,免费,已提交,,,,,,,,,,,,,,,,,,
https://devpost.com/software,86,免费,已提交,,,,,,,,,,,,,,,,,,
http://dev.to/,84,免费,已提交,,,,,,,,,,,,,,,,,,
https://oncely.com/products/autocoder-s-platform-discount,33,免费,已发布,,,,,,,,,,,,,,,,,,
https://tools.launchllama.co/,40,免费,已提交,,@邓茵之,,,,,,,,,,,,,,,,
https://peerpush.net/,73,免费,已提交,05/06/2026,@刘跃琪,,,,,,,,,,,,,,,,
https://saasaitools.com/,52,免费,已提交,,@邓茵之,,,,,,,,,,,,,,,,
https://www.rankmyai.com/,32,免费,,,@邓茵之,,,,,,,,,,,,,,,,
https://www.futurepedia.io/?utm_source=chatgpt.com,72,置换,,,,,,,,,,,,,,,,,,,
https://library.phygital.plus/,57,免费,已提交,,@邓茵之,,,,,,,,,,,,,,,,
https://futuretools.io/submit-a-tool,69,免费,已提交,,@邓茵之,,,,,,,,,,,,,,,,
https://toptools.ai/submit,69,免费,已提交,,@邓茵之,,,,,,,,,,,,,,,,
https://ai-hunter.io/submit-a-tool/,17,免费,,"Keep saying ""An error occurred while processing the form. Please try again""",,,,,,,,,,,,,,,,,
https://aitoolboard.com/submit,16,免费,待提交,Error when submitting,@邓茵之,,,,,,,,,,,,,,,,
https://aiai.tools/,38,免费,已提交,06/10/2026,@邓茵之,,,,,,,,,,,,,,,,
best-ai.org,42,免费,,06/10/2026,@邓茵之,,,,,,,,,,,,,,,,
linktr.ee,94,免费,,,,用免费方案创建一个linkinbio 带上自己的网站链接,,,,,,,,,,,,,,,
aitoolguru.com,30,免费,已提交,06/10/2026,@邓茵之,,,,,,,,,,,,,,,,
https://www.aidirectori.es/,70,免费,已提交,06/10/2026,@邓茵之,,,,,,,,,,,,,,,,
https://victrays.com/submit-ai-tool/,39,置换,,,,,,,,,,,,,,,,,,,
https://noteableai.com/,21,免费,待提交,,,,,,,,,,,,,,,,,,
https://appsandwebsites.com/,14,免费,已提交,06/10/2026,@邓茵之,,,,,,,,,,,,,,,,
https://aicenter.ai/submit-tools,36,置换,,,,,,,,,,,,,,,,,,,
https://toolscout.ai/submit,25,免费,已提交,06/10/2026,@邓茵之,,,,,,,,,,,,,,,,
https://www.toolpilot.ai/pages/submit-your-ai-tool,77,免费,已提交,06/10/2026,@邓茵之,,,,,,,,,,,,,,,,
https://aitoolsdirectory.com/submit-tool,52,免费,已提交,06/10/2026,@邓茵之,,,,,,,,,,,,,,,,
https://opentools.ai/signin?callbackUrl=https%3A%2F%2Fopentools.ai%2Ffriends%2Flaunch-tool,68,置换,,,,,,,,,,,,,,,,,,,
https://aitoolsmarketer.com/submit/,40,免费,已提交,06/10/2026,@邓茵之,,,,,,,,,,,,,,,,
https://aitoptools.com/account/submit-tool/,54,置换,,,,,,,,,,,,,,,,,,,
https://omr.com/en/reviews,82,免费,已提交,05/09/2026,@刘跃琪,https://omr.com/en/reviews/product/autocoder,,,,,,,,,,,,,,,
https://www.uneed.best/your-tools,74,免费,已提交,05/09/2026,@刘跃琪,,,,,,,,,,,,,,,,
https://startupfa.me/dashboard,82,免费,待提交,,,,,,,,,,,,,,,,,,
https://dang.ai/,81,免费,,,,,,,,,,,,,,,,,,,
https://twelve.tools/submit-your-tool,80,免费,已提交,06/10/2026,@邓茵之,,,,,,,,,,,,,,,,
https://stackshare.io,79,免费,,,,,,,,,,,,,,,,,,,
https://turbo0.com/submit,79,置换,,,,,,,,,,,,,,,,,,,
https://fazier.com/submit,78,置换,,,,,,,,,,,,,,,,,,,
https://www.prosaashub.com/,78,免费,,website not found,,,,,,,,,,,,,,,,,
https://findstack.com/get-listed,77,免费,已提交,06/11/2026,@邓茵之,,,,,,,,,,,,,,,,
https://www.toolpilot.ai/pages/submit-your-ai-tool,76,免费,,这个交过了,,,,,,,,,,,,,,,,,
https://wired.business/submit-your-website,76,免费,已提交,06/11/2026,@邓茵之,,,,,,,,,,,,,,,,
https://www.saasworthy.com/offerings,75,免费,已提交,06/11/2026,@邓茵之,,,,,,,,,,,,,,,,
https://www.capterra.com/vendors/sign-up,91,免费,,,,,,,,,,,,,,,,,,,
https://www.g2.com/products/new,91,免费,已提交,06/15/2026,@刘跃琪,,,,,,,,,,,,,,,,
https://www.crunchbase.com/,91,免费,,,,,,,,,,,,,,,,,,,
https://alternativeto.net/manage/suggest/,89,免费,,june23交，需要注册7天,@王子言,,,,,,,,,,,,,,,,
https://www.getapp.com/,78,免费,,链接公司邮箱登陆报错,,,,,,,,,,,,,,,,,
https://www.indiehackers.com/products,72,免费,,06/16/2026,@王子言,,,,,,,,,,,,,,,,
https://www.foundrlist.com/,70,免费,,个人/公司邮箱均收不到验证码,,,,,,,,,,,,,,,,,
https://betapage.co/submit,66,免费,,06/16/2026,@王子言,,,,,,,,,,,,,,,,
https://trustmrr.com/,66,免费,,,,,,,,,,,,,,,,,,,
https://betalist.com/submit,65,免费,,,,,,,,,,,,,,,,,,,
https://www.f6s.com/,60,免费,已提交,25/06/2026,@王子言,,,,,,,,,,,,,,,,
https://saasbison.com/,58,免费,,,,,,,,,,,,,,,,,,,
https://www.dropyourai.com/submit-tool,69,免费,,16/06/2026,@刘跃琪,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
https://gptbot.io/submit-ai-tool,29,免费,已提交,16/06/2026,@邓茵之,,,,,,,,,,,,,,,,
https://builtbyme.io/login,30,免费,已提交,16/06/2026,@邓茵之,,,,,,,,,,,,,,,,
https://www.rundown.ai/submit,47,免费,,16/06/2026,@邓茵之,,,,,,,,,,,,,,,,
https://barndoor.ai/submit-a-tool/,31,免费,已提交,16/06/2026,@邓茵之,,,,,,,,,,,,,,,,
https://bestofai.com/,43,免费,,16/06/2026,@邓茵之,,,,,,,,,,,,,,,,
https://aitoolsdirectory.com/submit-tool,51,免费,已提交,16/06/2026,@邓茵之,,,,,,,,,,,,,,,,
https://www.aidirectori.es/?via=try,70,免费,,16/06/2026,@邓茵之,,,,,,,,,,,,,,,,
https://www.tools-ai.online/submit-tool,24,免费,已提交,18/06/2026,@邓茵之,,,,,,,,,,,,,,,,
https://tally.so/r/w4Jb4b,21,免费,已提交,18/06/26,@邓茵之,,,,,,,,,,,,,,,,
https://www.tipseason.com/ai-tools/submit-free/success,43,免费,已提交,18/06/26,@邓茵之,,,,,,,,,,,,,,,,
https://projectpedia.net/submit-tool/,21,免费,已提交,18/06/26,@邓茵之,,,,,,,,,,,,,,,,
https://aireviewbattle.com/submit-your-ai-tool/,,免费,已提交,18/06/26,@邓茵之,,,,,,,,,,,,,,,,
https://open-launch.com/,71,免费,已提交,25/6/2026,@王子言,,发布日期12.1,,,,,,,,,,,,,,
,,免费,,07/10/2026,@王子言,,,,,,,,,,,,,,,,
,,免费,,07/10/2026,@王子言,,,,,,,,,,,,,,,,
,,免费,,07/10/2026,@王子言,,,,,,,,,,,,,,,,
,,免费,,07/10/2026,@王子言,,,,,,,,,,,,,,,,
,,免费,,07/10/2026,@王子言,,,,,,,,,,,,,,,,
,,免费,,07/10/2026,@王子言,,,,,,,,,,,,,,,,
,,免费,,07/10/2026,@王子言,,,,,,,,,,,,,,,,
,,免费,,07/10/2026,@王子言,,,,,,,,,,,,,,,,
,,免费,,07/10/2026,@王子言,,,,,,,,,,,,,,,,
,,免费,,07/10/2026,@王子言,,,,,,,,,,,,,,,,
,,免费,,07/10/2026,@王子言,,,,,,,,,,,,,,,,
,,免费,,07/10/2026,@王子言,,,,,,,,,,,,,,,,
